brandId,brandName,aliases,categoryId,logo,luxuryLevel,rankingWeight,brandStatus,originCountryId
timbuk2,Timbuk2,[],shoes-bags,,fashion,50,active,
valliani-jewelers,Valliani Jewelers,[],jewelry-watches,,fashion,50,active,
aguabendita,aguabendita,[],fashion,,fashion,50,active,
ariat,Ariat,[],sportswear,,sports,50,active,
babycottons,babycottons,[],kids,,fashion,50,active,
books-a-million,Books-A-Million,[],home-lifestyle,,lifestyle,50,active,
brandsmart-usa,BrandsMart USA,[],home-lifestyle,,lifestyle,50,active,
champs-sports,Champs Sports,[],sportswear,,sports,50,active,
charlotte-russe,Charlotte Russe,[],fashion,,fashion,50,active,
cotton-natural,Cotton Natural,[],fashion,,fashion,50,active,
cubavera,Cubavera,[],fashion,,fashion,50,active,
cult-gaia,Cult Gaia,[],fashion,,fashion,50,active,
designers-jewelry-collection,Designers Jewelry Collection,[],jewelry-watches,,fashion,50,active,
diamonds-international,Diamonds International,[],jewelry-watches,,fashion,50,active,
dick-s-sporting-goods,Dick's Sporting Goods,[],sportswear,,sports,50,active,
elegance-perfumes,Elegance Perfumes,[],beauty,,fashion,50,active,
five-below,Five Below,[],fashion,,fashion,50,active,
florsheim,Florsheim Shoes,[],shoes-bags,,fashion,50,active,
greg-norman,Greg Norman,[],sportswear,,sports,50,active,
herve-leger,Herve Leger,[],fashion,,fashion,50,active,
homesense,Homesense,[],home-lifestyle,,lifestyle,50,active,
hot-topic,Hot Topic,[],fashion,,fashion,50,active,
huk,HUK,[],sportswear,,sports,50,active,
james-bark,James Bark,[],fashion,,fashion,50,active,
johnny-was,Johnny Was,[],fashion,,fashion,50,active,
lafayette-148-new-york,Lafayette 148 New York,[],fashion,,fashion,50,active,
lelior,Lelior,[],beauty,,fashion,50,active,
luli-fama,Luli Fama,[],fashion,,fashion,50,active,
mania-jeans,Mania Jeans,[],fashion,,fashion,50,active,
marshalls,Marshalls,[],fashion,,fashion,50,active,
moida,Moida,[],beauty,,fashion,50,active,
nini-and-loli,Nini and Loli,[],kids,,fashion,50,active,
nordstrom-rack,Nordstrom Rack,[],fashion,,fashion,50,active,
oasis-cigar,Oasis Cigar,[],home-lifestyle,,lifestyle,50,active,
premier-by-showtime,Premier by Showtime,[],fashion,,fashion,50,active,
runner-s-depot,Runner's Depot,[],sportswear,,sports,50,active,
sneaker-lovers,Sneaker Lovers,[],shoes-bags,,fashion,50,active,
solaris,Solaris,[],fashion,,fashion,50,active,
spencer-gifts,Spencer Gifts,[],home-lifestyle,,lifestyle,50,active,
splendid,Splendid,[],fashion,,fashion,50,active,
super-bins,Super Bins,[],home-lifestyle,,lifestyle,50,active,
target,Super Target,[],home-lifestyle,,lifestyle,50,active,
tj-maxx,T.J. Maxx,[],fashion,,fashion,50,active,
t-mobile,T-Mobile,[],home-lifestyle,,lifestyle,50,active,
tns-usa,TNS-USA,[],fashion,,fashion,50,active,
traveltino,Traveltino,[],fashion,,fashion,50,active,
uniform-advantage,Uniform Advantage,[],fashion,,fashion,50,active,
vx-technologies,VX Technologies,[],home-lifestyle,,lifestyle,50,active,
o-and-b,O And B,[],shoes-bags,,fashion,50,active,
k-beauty-ave,K-Beauty Ave,[],beauty,,fashion,50,active,
l-agence,L'Agence,[],fashion,,fashion,50,active,
loveshackfancy,LoveShackFancy,[],fashion,,fashion,50,active,
lukure,LUKURË,[],fashion,,fashion,50,active,
rothy-s,Rothy's,[],shoes-bags,,fashion,50,active,
rudsak,Rudsak,[],fashion,,fashion,50,active,
sayki,Sayki,[],fashion,,fashion,50,active,
shop-the-sample,Shop The Sample,[],fashion,,fashion,50,active,
twp-clothing,TWP Clothing,[],fashion,,fashion,50,active,
blu-kids,Blu Kids,[],fashion,,fashion,60,active,italy
brumode-paris,Brumode Paris,[],fashion,,fashion,60,active,italy
calliope,Calliope,[],fashion,,fashion,60,active,italy
candida,Candida,[],fashion,,fashion,60,active,italy
cotton-silk,Cotton&Silk,[],fashion,,fashion,60,active,italy
david-saddler,David Saddler 7 Camicie,[],fashion,,fashion,60,active,italy
distretto12,Distretto12,[],fashion,,fashion,60,active,italy
empresa,Empresa,[],fashion,,fashion,60,active,italy
cavaliere,Cavaliere,[],fashion,,fashion,50,active,unknown
colins,Colin’s,"[""Colin's"",""Colins""]",fashion,,fashion,50,active,unknown
d-s-damat,"D""S Damat","[""D\""S Damat"",""DSDamat"",""D\""S Damat Outlet""]",fashion,,fashion,60,active,poland
10days,10DAYS,"[""10 Days""]",fashion,,fashion,68,active,netherlands
4f,4F,"[""4F"",""4F"",""4F Outlet""]",sportswear,,fashion,60,active,poland
4tel,4tel,[],electronics,,lifestyle,50,active,
7-for-all-mankind,7 For All Mankind,"[""7 For All Mankind®"",""7ForAllMankind"",""Seven For All Mankind"",""7FAM""]",fashion,,premium,78,active,united-states
883-police-milano,883 Police Milano,"[""883 Police"",""883PoliceMilano"",""883Police""]",fashion,,fashion,68,active,italy
a-bathing-ape,A Bathing Ape,"[""BAPE"",""A Bathing Ape Pirate Store"",""ABathingApe""]",fashion,,premium,84,active,japan
aanda,A&A,"[""A & A""]",fashion,,fashion,60,active,unknown
a-p-c,A.P.C.,"[""APC"",""Atelier de Production et de Creation"",""A P C""]",fashion,,premium,82,active,france
a-v-v,A.v.v,"[""avv"",""A v v"",""Avv""]",fashion,,fashion,70,active,japan
aaiko,Aaiko,"[""AAIKO""]",fashion,,fashion,66,active,netherlands
abaci,Abaci,[],fashion,,lifestyle,50,active,united-kingdom
abahouse,Abahouse,"[""ABAHOUSE""]",fashion,,premium,73,active,japan
abc-mart,ABC-Mart,"[""ABC Mart"",""ABC-Mart Sports Outlet"",""ABCMart"",""ABC Mart Sports Outlet"",""ABCMartSportsOutlet""]",shoes-bags,,lifestyle,78,active,japan
abel-and-lula,Abel and Lula,"[""Abel and Lula""]",kids,,lifestyle,62,active,
abercrombie-and-fitch,Abercrombie & Fitch,"[""Abercrombie"",""Abercrombie and Fitch"",""Abercrombie & Fitch Outlet"",""Abercrombie Fitch"",""AbercrombieFitch"",""AbercrombieandFitch"",""Abercrombie and Fitch Outlet"",""Abercrombie Fitch Outlet""]",fashion,,premium,84,active,united-states
abro,ABRO,[],fashion,,fashion,60,active,unknown
acandco,AC&co.,"[""AC & Co"",""AC&Co"",""Altınyıldız Classics AC&co.""]",fashion,,fashion,60,active,unknown
ace-bags-and-luggage,Ace Bags & Luggage,"[""ACE"",""Ace Bags"",""Ace Luggage"",""Ace Bags and Luggage"",""Ace Bags Luggage"",""AceBagsLuggage"",""AceBags"",""AceLuggage""]",shoes-bags,,lifestyle,72,active,japan
acne-studios,Acne Studios,"[""AcneStudios""]",fashion,,premium,86,active,sweden
acqua-di-parma,Acqua di Parma,"[""Acqua di Parma"",""AcquadiParma""]",beauty,,luxury,86,active,italy
adenauer-and-co,Adenauer&Co,"[""Adenauer & Co"",""Adenauer and Co"",""AdenauerandCo"",""Adenauer Co"",""AdenauerCo""]",fashion,,lifestyle,66,active,germany
adidas,Adidas,"[""adidas Outlet Store"",""adidas Originals"",""adidasOutletStore"",""adidasOriginals"",""adidas"",""Adidas Outlet"",""Adidas Outlet Store""]",sportswear,,sports,96,active,germany
adidas-golf,Adidas Golf,"[""AdidasGolf"",""adidas Golf""]",sportswear,,sports,84,active,germany
adidas-kids,adidas kids,"[""adidaskids"",""Adidas Kids""]",fashion,,fashion,70,active,
adidas-originals,adidas Originals,"[""adidasOriginals"",""Adidas Originals""]",fashion,,fashion,70,active,
adolfo-dominguez,Adolfo Domínguez,"[""Adolfo Dominguez"",""AdolfoDominguez""]",fashion,,premium,78,active,spain
adventure-sports-rossignol,Adventure Sports/Rossignol,"[""Adventure Sports"",""Rossignol"",""Adventure Sports Rossignol"",""Adventure Sports/Rossignol""]",sportswear,,sports,70,active,france
aerin,AERIN,[],fashion,,fashion,70,active,
aeronautica-militare,Aeronautica Militare,"[""AeronauticaMilitare""]",fashion,,premium,74,active,italy
aesop,Aesop,[],beauty,,premium,84,active,australia
affenzahn,Affenzahn,[],fashion,,fashion,70,active,
ag-spaldingandbros,AG Spalding&Bros,"[""AG Spalding&Bros"",""AG Spalding & Bros"",""A.G. Spalding & Bros""]",fashion,,fashion,62,active,
agnes-b,agnès b.,"[""Agnes b"",""Agnès b""]",fashion,,premium,76,active,france
aigle,Aigle,[],fashion,,lifestyle,75,active,france
aigner,Aigner,"[""Etienne Aigner"",""EtienneAigner""]",shoes-bags,,premium,76,active,germany
aimn,Aim'n,"[""Aimn"",""Aim’n"",""Aim n"",""Aim'n Sportswear"",""Aimn Sportswear""]",sportswear,,sports,72,active,sweden
aimerfeel,Aimerfeel,[],fashion,,lifestyle,68,active,japan
airforce,Airforce,"[""Airforce Sport""]",fashion,,fashion,66,active,netherlands
airforce-kids,Airforce Kids,"[""Airforce Kids Store""]",kids,,fashion,60,active,netherlands
ajax-fanshop,Ajax Fanshop,"[""Ajax Fan Shop"",""AFC Ajax Fanshop""]",sportswear,,sports,70,active,netherlands
ajmal-perfumes,Ajmal Perfumes,"[""Ajmal"",""AjmalPerfumes""]",beauty,,premium,70,active,united-arab-emirates
akris,Akris,[],luxury,,luxury,83,active,switzerland
alain-afflelou,Alain Afflelou,[],eyewear,,lifestyle,60,active,france
alaia,Alaïa,"[""Alaia""]",luxury,,luxury,88,active,france
alberta-ferretti,Alberta Ferretti,"[""AlbertaFerretti""]",luxury,,luxury,86,active,italy
alberta-ferretti-moschino,Alberta Ferretti - Moschino,[],fashion,,fashion,60,active,unknown
alberto,Alberto,[],fashion,,premium,67,active,germany
albione,Albione,"[""Albione"",""Albione"",""Albione Outlet""]",fashion,,fashion,60,active,poland
alcott,Alcott,[],fashion,,fashion,60,active,
aldo,ALDO,"[""Aldo""]",shoes-bags,,fashion,79,active,canada
aldo-coppola,Aldo Coppola,"[""AldoCoppola""]",beauty,,premium,70,active,italy
ale,ALE,"[""'ALE"",""‘ALE""]",fashion,,fashion,60,active,greece
alexander-mcqueen,Alexander McQueen,"[""McQueen"",""AlexanderMcQueen""]",luxury,,luxury,94,active,united-kingdom
alexander-wang,Alexander Wang,"[""AlexanderWang""]",fashion,,premium,84,active,united-states
alfi,alfi,[],home,,fashion,60,active,unknown
algo-bonito,Algo Bonito,[],fashion,,fashion,60,active,spain
alina,Alina,[],fashion,,fashion,70,active,
